Date,Water Area (km^2)
2017-04-04 08:00:00,2976.112294555644
2017-04-05 08:00:00,2942.1912942636473
2017-04-06 08:00:00,2902.6401091078606
2017-04-07 08:00:00,2852.446401190299
2017-04-08 08:00:00,2835.552271330235
2017-04-09 08:00:00,2847.0447829393856
2017-04-10 08:00:00,2891.27110824701
2017-04-11 08:00:00,2963.0804127853094
2017-04-12 08:00:00,3016.853402877581
2017-04-13 08:00:00,3023.363527599914
2017-04-14 08:00:00,3007.3070948004397
2017-04-15 08:00:00,2984.614825482981
2017-04-16 08:00:00,2961.915866685154
2017-04-17 08:00:00,2916.9401196798526
2017-04-18 08:00:00,2870.906311004449
2017-04-19 08:00:00,2837.5636060581182
2017-04-20 08:00:00,2788.6072077052563
2017-04-21 08:00:00,2746.5750654526623
2017-04-22 08:00:00,2707.1340332665272
2017-04-23 08:00:00,2684.8848014337264
2017-04-24 08:00:00,2656.1286203283785
2017-04-25 08:00:00,2696.25283761843
2017-04-26 08:00:00,2697.574836233159
2017-04-27 08:00:00,2704.9019918000517
2017-04-28 08:00:00,2715.80900277586
2017-04-29 08:00:00,2690.1968861644996
2017-04-30 08:00:00,2651.043733568783
2017-05-01 08:00:00,2606.215561736506
2017-05-02 08:00:00,2554.738689343578
2017-05-03 08:00:00,2533.776500929487
2017-05-04 08:00:00,2489.942199376773
2017-05-05 08:00:00,2465.477706617427
2017-05-06 08:00:00,2466.088533263337
2017-05-07 08:00:00,2475.97801096235
2017-05-08 08:00:00,2480.657078746194
2017-05-09 08:00:00,2476.829490618539
2017-05-10 08:00:00,2505.895734361963
2017-05-11 08:00:00,2548.6097992217906
2017-05-12 08:00:00,2545.822042346239
2017-05-13 08:00:00,2561.721763294135
2017-05-14 08:00:00,2609.398602945541
2017-05-15 08:00:00,2635.4844017269834
2017-05-16 08:00:00,2630.565300111253
2017-05-17 08:00:00,2616.5826950633254
2017-05-18 08:00:00,2588.829334573837
2017-05-19 08:00:00,2551.7367312923875
2017-05-20 08:00:00,2505.0155482077867
2017-05-21 08:00:00,2473.2413965947494
2017-05-22 08:00:00,2454.028061743498
2017-05-23 08:00:00,2428.5100099645315
2017-05-24 08:00:00,2371.8039306940923
2017-05-25 08:00:00,2309.0852611753676
2017-05-26 08:00:00,2267.2932056679897
2017-05-27 08:00:00,2228.80453120706
2017-05-28 08:00:00,2204.9912730605606
2017-05-29 08:00:00,2197.817483934031
2017-05-30 08:00:00,2206.707030292792
2017-05-31 08:00:00,2224.6920947613535
2017-06-01 08:00:00,2256.6975720933037
2017-06-02 08:00:00,2321.9924313443166
2017-06-03 08:00:00,2427.0201778657406
2017-06-04 08:00:00,2520.292327196948
2017-06-05 08:00:00,2592.7499918323665
2017-06-06 08:00:00,2606.377979170273
2017-06-07 08:00:00,2683.4540304072657
2017-06-08 08:00:00,2765.4236193016864
2017-06-09 08:00:00,2789.60596720316
2017-06-10 08:00:00,2779.9576739111853
2017-06-11 08:00:00,2801.8977802271584
2017-06-12 08:00:00,2848.77392172925
2017-06-13 08:00:00,2955.210541286665
2017-06-14 08:00:00,3081.9851724909167
2017-06-15 08:00:00,3162.439202464224
